cohort,mode,criterion,fold,n,n_pred_AD,bal_acc,degenerate,direction,mean_prob,positive_rate,oe,ece,aece,mce,brier
oasis,fusion,gated_bacc,4,73,53,0.7390648567119156,False,working,0.6395066800999315,0.5342465753424658,0.05506150698896206,0.11948535744458028,0.14542133881621164,0.33338227442332674,0.17247141348866296
oasis,fusion,gated_bacc,5,73,28,0.748868778280543,False,working,0.36736048115034625,0.5342465753424658,0.014940597435590596,0.20322098276794773,0.2036110217848869,0.8856176640838385,0.20422532472811442
oasis,fusion,neg_brier,1,73,37,0.7398496240601504,False,working,0.49378604902439327,0.5205479452054794,0.10281293122275248,0.2405890489558447,0.20422832694619075,0.762175902724266,0.23124975123174185
oasis,fusion,neg_brier,2,73,49,0.7605263157894737,False,working,0.6217378799943891,0.5205479452054794,0.0837391801458581,0.14848983578690111,0.17602027712823595,0.649799625078837,0.17876239872022393
oasis,fusion,neg_brier,3,73,39,0.8623680241327301,False,working,0.5231898456097466,0.5342465753424658,0.02335934536514722,0.08745729632369459,0.13747254468194425,0.47418808937072754,0.1254343329778156
oasis,fusion,neg_brier,4,73,35,0.7285067873303167,False,working,0.4994847552008825,0.5342465753424658,0.03963735808069819,0.13797266965043056,0.1441623321543001,0.5185145139694214,0.17411272051847324
oasis,fusion,neg_brier,5,73,62,0.6617647058823529,False,working,0.701241086198859,0.5342465753424658,0.0942897927807898,0.1687003108736587,0.24598282779732794,0.47756890275261615,0.19841913403685782
adni,clinical,auc,1,1287,548,0.7412461937033171,False,working,0.4792086479963956,0.33644133644133645,0.05981608993290397,0.14494818187352754,0.14644714995419783,0.2270692425994246,0.19243794647742413
adni,clinical,auc,2,1287,339,0.6878498683007825,False,working,0.4805395807882752,0.33644133644133645,0.08144027796275984,0.2085136342808176,0.20941164540799903,0.2393520505242207,0.22835494137077764
adni,clinical,auc,3,1287,1227,0.5125060170586995,False,working,0.5405611430802082,0.33644133644133645,0.11017729609987663,0.20411980663887178,0.24049932373616706,0.2805848941206932,0.25586520810154517
adni,clinical,auc,4,1287,454,0.7040499537565377,False,working,0.44206761183809107,0.33644133644133645,0.04163186337103075,0.1056262753967546,0.10562627539675462,0.14667052401436698,0.18691910716941035
adni,clinical,auc,5,1287,501,0.6904541053918255,False,working,0.4724247062632347,0.33644133644133645,0.05975805147300267,0.14552225801216695,0.15086453173544023,0.2273888203293778,0.20007721761197395
